Hinweise zur Aufgabe: Sortiert primär nach Redenanzahl, sekundär nach Redenlänge


TEIL 1: Nach Fraktionen:
Fraktion Deutsche Partei
    Rudolf Eickhoff, DP (0 Reden, gesamt 0 Zeichen)
    Herbert Schneider, CDU (0 Reden, gesamt 0 Zeichen)
    Fritz Becker, DP (0 Reden, gesamt 0 Zeichen)
    Dr. Georg Ripken, DP (0 Reden, gesamt 0 Zeichen)
    Dr. Helmuth Schranz, Plos (0 Reden, gesamt 0 Zeichen)
    Fritz Logemann, FDP (0 Reden, gesamt 0 Zeichen)
    Christian Kuhlemann, DP (0 Reden, gesamt 0 Zeichen)
    Dr. Willy Steinmetz, CDU (0 Reden, gesamt 0 Zeichen)
    Peter Tobaben, CDU (0 Reden, gesamt 0 Zeichen)
    Dr. Ludwig Preiß, CDU (0 Reden, gesamt 0 Zeichen)
    Dr. Victor-Emanuel Preusker, CDU (0 Reden, gesamt 0 Zeichen)
    August-Martin Euler, DP (0 Reden, gesamt 0 Zeichen)
    Dr. Hans-Joachim Fricke, DP (0 Reden, gesamt 0 Zeichen)
    Dr. Ludwig Schneider, CDU (0 Reden, gesamt 0 Zeichen)
    Wilhelm Bahlburg, DP (0 Reden, gesamt 0 Zeichen)
    Adolf Ahrens, DP (0 Reden, gesamt 0 Zeichen)
    Hans Ewers, DP (0 Reden, gesamt 0 Zeichen)
    Dr. Hans-Christoph Seebohm, CDU (0 Reden, gesamt 0 Zeichen)
    Albert Walter, DP (0 Reden, gesamt 0 Zeichen)
    Otto Wittenburg, DP (0 Reden, gesamt 0 Zeichen)
    Dr. Hans-Joachim Merkatz, CDU (0 Reden, gesamt 0 Zeichen)
    Robert Jaffe, DP (0 Reden, gesamt 0 Zeichen)
    Heinz Matthes, DP (0 Reden, gesamt 0 Zeichen)
    Dr. Ernst-Christoph Brühler, DP (0 Reden, gesamt 0 Zeichen)
    Friedrich Klinge, DP (0 Reden, gesamt 0 Zeichen)
    Dr. Franz Blücher, DP (0 Reden, gesamt 0 Zeichen)
    Heinrich Hellwege, DP (0 Reden, gesamt 0 Zeichen)
    Otto Eisenmann, FDP (0 Reden, gesamt 0 Zeichen)
    Dr. Ernst Woltje, DP (0 Reden, gesamt 0 Zeichen)
    Dr. Carl Campe, DP (0 Reden, gesamt 0 Zeichen)
    Karl Müller, DP (0 Reden, gesamt 0 Zeichen)
    Dr. Heinrich Schild, CDU (0 Reden, gesamt 0 Zeichen)
    Eduard Platner, DP (0 Reden, gesamt 0 Zeichen)
    Ernst August Farke, DP (0 Reden, gesamt 0 Zeichen)
