Christoph Waitz, FDP, 1471 Tage
Josip Juratovic, SPD, 1471 Tage
Peter Albach, CDU, 1471 Tage
Sabine Zimmermann, DIE LINKE., 1471 Tage
Dr. Matthias Miersch, SPD, 1471 Tage
Carsten Müller, CDU, 1471 Tage
Alois Karl, CSU, 1471 Tage
Miriam Gruß, FDP, 1471 Tage
Franz-Josef Holzenkamp, CDU, 1471 Tage
Patrick Meinhardt, FDP, 1471 Tage
Patrick Döring, FDP, 1471 Tage
Cornelia Hirsch, DIE LINKE., 1471 Tage
Jens Ackermann, FDP, 1471 Tage
Andreas Jung, CDU, 1471 Tage
Dr. Max Lehmer, CSU, 1471 Tage
Elisabeth Winkelmeier-Becker, CDU, 1471 Tage
Anette Hübinger, CDU, 1471 Tage
Alexander Ulrich, DIE LINKE., 1471 Tage
Jörn Wunderlich, DIE LINKE., 1471 Tage
Klaus Ernst, DIE LINKE., 1471 Tage
Johannes Röring, CDU, 1471 Tage
Marianne Schieder, SPD, 1471 Tage
Volker Blumentritt, SPD, 1471 Tage
Sevim Dağdelen, DIE LINKE., 1471 Tage
Michael Brand, CDU, 1471 Tage
Andreas Steppuhn, SPD, 1471 Tage
Jens Koeppen, CDU, 1471 Tage
Paul Schäfer, DIE LINKE., 1471 Tage
Dr. Gerhard Schick, BÜNDNIS 90/DIE GRÜNEN, 1471 Tage
Sönke Rix, SPD, 1471 Tage
Eckhardt Rehberg, CDU, 1471 Tage
Dr. Rolf Koschorrek, CDU, 1471 Tage
Marina Schuster, FDP, 1471 Tage
Katrin Kunert, DIE LINKE., 1471 Tage
Mechthild Rawert, SPD, 1471 Tage
Wolfgang Wieland, BÜNDNIS 90/DIE GRÜNEN, 1471 Tage
Ulrich Maurer, DIE LINKE., 1471 Tage
Katja Mast, SPD, 1471 Tage
Dorothee Menzner, DIE LINKE., 1471 Tage
Rita Schwarzelühr-Sutter, SPD, 1471 Tage
Dr. Kirsten Tackmann, DIE LINKE., 1471 Tage
Michael Georg Link, FDP, 1471 Tage
Monika Grütters, CDU, 1471 Tage
Johannes Jung, SPD, 1471 Tage
Dr. Anton Hofreiter, BÜNDNIS 90/DIE GRÜNEN, 1471 Tage
Elisabeth Scharfenberg, BÜNDNIS 90/DIE GRÜNEN, 1471 Tage
Mechthild Dyckmans, FDP, 1471 Tage
Hans-Werner Kammer, CDU, 1471 Tage
Annette Schavan, CDU, 1471 Tage
Thomas Oppermann, SPD, 1471 Tage
Dr. Carl-Christian Dressel, SPD, 1471 Tage
Steffen Reiche, SPD, 1471 Tage
Wolfgang Gunkel, SPD, 1471 Tage
Dr. Axel Troost, DIE LINKE., 1471 Tage
Lutz Delazari Heilmann, DIE LINKE., 1471 Tage
Frank Schäffler, FDP, 1471 Tage
Dr. Edmund Peter Geisen, FDP, 1471 Tage
Jürgen Kucharczyk, SPD, 1471 Tage
Kai Gehring, BÜNDNIS 90/DIE GRÜNEN, 1471 Tage
Ingbert Liebing, CDU, 1471 Tage
Martin Burkert, SPD, 1471 Tage
Karl Schiewerling, CDU, 1471 Tage
Dr. Eva Möllring, CDU, 1471 Tage
Burkhardt Müller-Sönksen, FDP, 1471 Tage
Dr. Konrad Schily, FDP, 1471 Tage
