Document{{_id=11004050, Redenanzahl=49, Vorname=Jürgen, Nachname=Hardt, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004182, Redenanzahl=47, Vorname=Johann David, Nachname=Wadephul, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004656, Redenanzahl=46, Vorname=Philipp, Nachname=Amthor, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004100, Redenanzahl=44, Vorname=Jan-Marco, Nachname=Luczak, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004061, Redenanzahl=42, Vorname=Thomas, Nachname=Jarzombek, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003780, Redenanzahl=42, Vorname=Andreas, Nachname=Jung, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003638, Redenanzahl=40, Vorname=Jens, Nachname=Spahn, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004116, Redenanzahl=38, Vorname=Nadine, Nachname=Schön, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004409, Redenanzahl=34, Vorname=Tino, Nachname=Sorge, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003566, Redenanzahl=34, Vorname=Julia, Nachname=Klöckner, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004917, Redenanzahl=34, Vorname=Alexander, Nachname=Throm, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004832, Redenanzahl=32, Vorname=Sepp, Nachname=Müller, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005030, Redenanzahl=32, Vorname=Simone, Nachname=Borchardt, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004926, Redenanzahl=30, Vorname=Christoph, Nachname=Vries, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005190, Redenanzahl=29, Vorname=Lars, Nachname=Rohwer, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004110, Redenanzahl=29, Vorname=Mathias, Nachname=Middelberg, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005257, Redenanzahl=28, Vorname=Klaus, Nachname=Wiener, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11002735, Redenanzahl=27, Vorname=Friedrich, Nachname=Merz, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004854, Redenanzahl=26, Vorname=Christoph, Nachname=Ploß, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003574, Redenanzahl=26, Vorname=Günter, Nachname=Krings, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004152, Redenanzahl=26, Vorname=Detlef, Nachname=Seif, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004285, Redenanzahl=25, Vorname=Fritz, Nachname=Güntzler, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004038, Redenanzahl=25, Vorname=Thomas, Nachname=Gebhart, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004011, Redenanzahl=25, Vorname=Steffen, Nachname=Bilger, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005106, Redenanzahl=25, Vorname=Ottilie, Nachname=Klein, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004327, Redenanzahl=24, Vorname=Georg, Nachname=Kippels, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005118, Redenanzahl=24, Vorname=Tilman, Nachname=Kuban, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004337, Redenanzahl=24, Vorname=Katja, Nachname=Leikert, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004365, Redenanzahl=24, Vorname=Wilfried, Nachname=Oellers, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004276, Redenanzahl=23, Vorname=Thorsten, Nachname=Frei, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004681, Redenanzahl=23, Vorname=Silvia, Nachname=Breher, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004262, Redenanzahl=22, Vorname=Michael, Nachname=Donth, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004286, Redenanzahl=21, Vorname=Christian, Nachname=Haase, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004418, Redenanzahl=21, Vorname=Johannes, Nachname=Steiniger, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005263, Redenanzahl=21, Vorname=Mareike Lotte, Nachname=Wulf, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005233, Redenanzahl=21, Vorname=Diana, Nachname=Stöcker, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003815, Redenanzahl=21, Vorname=Carsten, Nachname=Müller, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004241, Redenanzahl=20, Vorname=Stephan, Nachname=Albani, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004883, Redenanzahl=20, Vorname=Felix, Nachname=Schreiner, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005110, Redenanzahl=19, Vorname=Anne, Nachname=König, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005002, Redenanzahl=19, Vorname=Knut, Nachname=Abraham, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005185, Redenanzahl=19, Vorname=Markus, Nachname=Reichel, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005069, Redenanzahl=19, Vorname=Ingeborg, Nachname=Gräßle, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004845, Redenanzahl=19, Vorname=Josef, Nachname=Oster, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004443, Redenanzahl=18, Vorname=Kai, Nachname=Whittaker, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005159, Redenanzahl=18, Vorname=Maximilian, Nachname=Mörseburg, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003742, Redenanzahl=18, Vorname=Michael, Nachname=Brand, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004741, Redenanzahl=18, Vorname=Thomas, Nachname=Heilmann, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005205, Redenanzahl=17, Vorname=Christiane, Nachname=Schenderlein, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004912, Redenanzahl=17, Vorname=Hermann-Josef, Nachname=Tebroke, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004770, Redenanzahl=17, Vorname=Ingmar, Nachname=Jung, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005032, Redenanzahl=17, Vorname=Michael, Nachname=Breilmann, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005182, Redenanzahl=16, Vorname=Martin, Nachname=Plum, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005138, Redenanzahl=16, Vorname=Klaus, Nachname=Mack, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003259, Redenanzahl=16, Vorname=Annette, Nachname=Widmann-Mauz, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003514, Redenanzahl=16, Vorname=Gitta, Nachname=Connemann, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005184, Redenanzahl=15, Vorname=Henning, Nachname=Rehbaum, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005266, Redenanzahl=15, Vorname=Nicolas, Nachname=Zippelius, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004323, Redenanzahl=15, Vorname=Anja, Nachname=Karliczek, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005068, Redenanzahl=15, Vorname=Fabian, Nachname=Gramling, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004699, Redenanzahl=15, Vorname=Astrid, Nachname=Damerow, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004829, Redenanzahl=15, Vorname=Axel, Nachname=Müller, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003525, Redenanzahl=15, Vorname=Enak, Nachname=Ferlemann, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004056, Redenanzahl=14, Vorname=Ansgar, Nachname=Heveling, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004841, Redenanzahl=14, Vorname=Petra, Nachname=Nicolaisen, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004673, Redenanzahl=14, Vorname=Marc, Nachname=Biadacz, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004292, Redenanzahl=14, Vorname=Matthias, Nachname=Hauer, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004071, Redenanzahl=14, Vorname=Volkmar, Nachname=Klein, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11002666, Redenanzahl=13, Vorname=Hermann, Nachname=Gröhe, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004068, Redenanzahl=13, Vorname=Roderich, Nachname=Kiesewetter, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005163, Redenanzahl=13, Vorname=Stefan, Nachname=Nacke, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004398, Redenanzahl=13, Vorname=Jana, Nachname=Schimke, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005035, Redenanzahl=13, Vorname=Yannick, Nachname=Bury, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004924, Redenanzahl=13, Vorname=Kerstin, Nachname=Vieregge, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004893, Redenanzahl=12, Vorname=Björn, Nachname=Simon, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004298, Redenanzahl=12, Vorname=Mark, Nachname=Helfrich, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11002765, Redenanzahl=12, Vorname=Norbert, Nachname=Röttgen, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004415, Redenanzahl=12, Vorname=Albert, Nachname=Stegemann, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004382, Redenanzahl=12, Vorname=Kerstin, Nachname=Radomski, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004437, Redenanzahl=12, Vorname=Nina, Nachname=Warken, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004108, Redenanzahl=12, Vorname=Andreas, Nachname=Mattfeldt, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004146, Redenanzahl=12, Vorname=Patrick, Nachname=Schnieder, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005037, Redenanzahl=12, Vorname=Mario, Nachname=Czaja, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005087, Redenanzahl=12, Vorname=Franziska, Nachname=Hoppermann, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004305, Redenanzahl=11, Vorname=Hendrik, Nachname=Hoppenstedt, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003821, Redenanzahl=11, Vorname=Henning, Nachname=Otte, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004139, Redenanzahl=11, Vorname=Erwin, Nachname=Rüddel, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004113, Redenanzahl=11, Vorname=Dietrich, Nachname=Monstadt, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004332, Redenanzahl=11, Vorname=Carsten, Nachname=Körber, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005254, Redenanzahl=11, Vorname=Maria-Lena, Nachname=Weiss, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005171, Redenanzahl=11, Vorname=Moritz, Nachname=Oppelt, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004800, Redenanzahl=11, Vorname=Jens, Nachname=Lehmann, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004073, Redenanzahl=11, Vorname=Axel, Nachname=Knoerig, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003544, Redenanzahl=11, Vorname=Olav, Nachname=Gutting, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003264, Redenanzahl=11, Vorname=Klaus-Peter, Nachname=Willsch, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11002754, Redenanzahl=11, Vorname=Thomas, Nachname=Rachel, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005235, Redenanzahl=11, Vorname=Christina, Nachname=Stumpp, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003646, Redenanzahl=11, Vorname=Antje, Nachname=Tillmann, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005160, Redenanzahl=10, Vorname=Florian, Nachname=Müller, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004010, Redenanzahl=10, Vorname=Peter, Nachname=Beyer, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003890, Redenanzahl=10, Vorname=Christian, Nachname=Hirte, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004655, Redenanzahl=10, Vorname=Norbert Maria, Nachname=Altenkamp, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005093, Redenanzahl=10, Vorname=Anne, Nachname=Janssen, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005218, Redenanzahl=10, Vorname=Armin, Nachname=Schwarz, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005193, Redenanzahl=10, Vorname=Thomas, Nachname=Röwekamp, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004283, Redenanzahl=10, Vorname=Oliver, Nachname=Grundmann, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005198, Redenanzahl=9, Vorname=Catarina, Nachname=Santos-Wintz, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005146, Redenanzahl=9, Vorname=Volker, Nachname=Mayer-Lay, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005072, Redenanzahl=9, Vorname=Serap, Nachname=Güler, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003573, Redenanzahl=9, Vorname=Gunther, Nachname=Krichbaum, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004168, Redenanzahl=9, Vorname=Dieter, Nachname=Stier, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004867, Redenanzahl=9, Vorname=Stefan, Nachname=Rouenhoff, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003582, Redenanzahl=8, Vorname=Patricia, Nachname=Lips, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004252, Redenanzahl=8, Vorname=André, Nachname=Berghegger, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003734, Redenanzahl=8, Vorname=Thomas, Nachname=Bareiß, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11002733, Redenanzahl=8, Vorname=Michael, Nachname=Meister, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004294, Redenanzahl=8, Vorname=Stefan, Nachname=Heck, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003510, Redenanzahl=7, Vorname=Helge, Nachname=Braun, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004052, Redenanzahl=7, Vorname=Mechthild, Nachname=Heil, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11000975, Redenanzahl=7, Vorname=Hubert, Nachname=Hüppe, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005304, Redenanzahl=7, Vorname=Alexander, Nachname=Föhr, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004036, Redenanzahl=7, Vorname=Ingo, Nachname=Gädechens, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003761, Redenanzahl=7, Vorname=Monika, Nachname=Grütters, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004915, Redenanzahl=7, Vorname=Hans-Jürgen, Nachname=Thies, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003865, Redenanzahl=7, Vorname=Elisabeth, Nachname=Winkelmeier-Becker, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004645, Redenanzahl=7, Vorname=Markus, Nachname=Uhl, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004744, Redenanzahl=6, Vorname=Marc, Nachname=Henrichmann, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004938, Redenanzahl=6, Vorname=Paul, Nachname=Ziemiak, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004271, Redenanzahl=5, Vorname=Uwe, Nachname=Feiler, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004269, Redenanzahl=5, Vorname=Hermann, Nachname=Färber, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004352, Redenanzahl=5, Vorname=Jan, Nachname=Metzler, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003542, Redenanzahl=5, Vorname=Markus, Nachname=Grübel, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005244, Redenanzahl=5, Vorname=Oliver, Nachname=Vogt, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004617, Redenanzahl=5, Vorname=Ronja, Nachname=Kemmer, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11002718, Redenanzahl=5, Vorname=Armin, Nachname=Laschet, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004136, Redenanzahl=5, Vorname=Josef, Nachname=Rief, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004021, Redenanzahl=4, Vorname=Ralph, Nachname=Brinkhaus, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004331, Redenanzahl=4, Vorname=Markus, Nachname=Koob, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
