Document{{_id=11003231, Redenanzahl=215, Vorname=Olaf, Nachname=Scholz, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003797, Redenanzahl=117, Vorname=Karl, Nachname=Lauterbach, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003142, Redenanzahl=79, Vorname=Hubertus, Nachname=Heil, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004396, Redenanzahl=70, Vorname=Nina, Nachname=Scheer, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004802, Redenanzahl=68, Vorname=Helge, Nachname=Lindh, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003167, Redenanzahl=63, Vorname=Christine, Nachname=Lambrecht, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004732, Redenanzahl=46, Vorname=Timon, Nachname=Gremmels, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004258, Redenanzahl=40, Vorname=Bernhard, Nachname=Daldrup, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004444, Redenanzahl=39, Vorname=Dirk, Nachname=Wiese, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005191, Redenanzahl=36, Vorname=Sebastian, Nachname=Roloff, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005221, Redenanzahl=36, Vorname=Lina, Nachname=Seitzl, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005115, Redenanzahl=35, Vorname=Dunja, Nachname=Kreiser, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004884, Redenanzahl=32, Vorname=Michael, Nachname=Schrodi, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005024, Redenanzahl=32, Vorname=Bengt, Nachname=Bergt, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004244, Redenanzahl=30, Vorname=Heike, Nachname=Baehrens, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004291, Redenanzahl=28, Vorname=Sebastian, Nachname=Hartmann, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005206, Redenanzahl=28, Vorname=Peggy, Nachname=Schierenbeck, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005251, Redenanzahl=28, Vorname=Carmen, Nachname=Wegge, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005103, Redenanzahl=27, Vorname=Franziska, Nachname=Kersten, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005089, Redenanzahl=27, Vorname=Verena, Nachname=Hubertz, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005151, Redenanzahl=27, Vorname=Robin, Nachname=Mesarosch, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004442, Redenanzahl=26, Vorname=Bernd, Nachname=Westphal, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005021, Redenanzahl=26, Vorname=Holger, Nachname=Becker, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005142, Redenanzahl=26, Vorname=Zanda, Nachname=Martens, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005131, Redenanzahl=25, Vorname=Esra, Nachname=Limbacher, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004876, Redenanzahl=25, Vorname=Nils, Nachname=Schmid, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005143, Redenanzahl=24, Vorname=Parsa, Nachname=Marvi, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004259, Redenanzahl=23, Vorname=Karamba, Nachname=Diaby, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005165, Redenanzahl=23, Vorname=Rasha, Nachname=Nasr, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005109, Redenanzahl=23, Vorname=Tim, Nachname=Klüssendorf, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005049, Redenanzahl=23, Vorname=Sonja, Nachname=Eichwede, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005241, Redenanzahl=23, Vorname=Derya, Nachname=Türk-Nachbaur, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005090, Redenanzahl=22, Vorname=Markus, Nachname=Hümpfer, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005084, Redenanzahl=22, Vorname=Nadine, Nachname=Heselhaus, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005108, Redenanzahl=22, Vorname=Annika, Nachname=Klose, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005056, Redenanzahl=22, Vorname=Sebastian, Nachname=Fiedler, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005236, Redenanzahl=22, Vorname=Ruppert, Nachname=Stüwe, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005141, Redenanzahl=21, Vorname=Kaweh, Nachname=Mansoori, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005010, Redenanzahl=21, Vorname=Johannes, Nachname=Arlt, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005112, Redenanzahl=21, Vorname=Simona, Nachname=Koß, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005036, Redenanzahl=21, Vorname=Isabel, Nachname=Cademartori Dujisin, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003809, Redenanzahl=21, Vorname=Matthias, Nachname=Miersch, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005147, Redenanzahl=21, Vorname=Andreas, Nachname=Mehltretter, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005247, Redenanzahl=20, Vorname=Carolin, Nachname=Wagner, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004448, Redenanzahl=20, Vorname=Gülistan, Nachname=Yüksel, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005229, Redenanzahl=20, Vorname=Ralf, Nachname=Stegner, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004603, Redenanzahl=20, Vorname=Jens, Nachname=Zimmermann, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004413, Redenanzahl=20, Vorname=Martina, Nachname=Stamm-Fibich, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005038, Redenanzahl=19, Vorname=Hakan, Nachname=Demir, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004426, Redenanzahl=19, Vorname=Carsten, Nachname=Träger, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005144, Redenanzahl=19, Vorname=Franziska, Nachname=Mascheck, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005267, Redenanzahl=19, Vorname=Armand, Nachname=Zorn, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005051, Redenanzahl=19, Vorname=Heike, Nachname=Engelhardt, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005168, Redenanzahl=19, Vorname=Brian, Nachname=Nickholz, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005268, Redenanzahl=19, Vorname=Katrin, Nachname=Zschau, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005097, Redenanzahl=19, Vorname=Carlos, Nachname=Kasper, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
