Document{{_id=11003231, Redenanzahl=215, Vorname=Olaf, Nachname=Scholz, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005074, Redenanzahl=140, Vorname=Robert, Nachname=Habeck, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11003702, Redenanzahl=121, Vorname=Volker, Nachname=Wissing, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004097, Redenanzahl=118, Vorname=Christian, Nachname=Lindner, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11003797, Redenanzahl=117, Vorname=Karl, Nachname=Lauterbach, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004902, Redenanzahl=115, Vorname=Bettina, Nachname=Stark-Watzinger, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004023, Redenanzahl=111, Vorname=Marco, Nachname=Buschmann, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004245, Redenanzahl=107, Vorname=Annalena, Nachname=Baerbock, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11004678, Redenanzahl=105, Vorname=Stephan, Nachname=Brandner, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11004127, Redenanzahl=96, Vorname=Lisa, Nachname=Paus, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11004091, Redenanzahl=89, Vorname=Ralph, Nachname=Lenkert, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE.}}
Document{{_id=11002720, Redenanzahl=85, Vorname=Steffi, Nachname=Lemke, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11003142, Redenanzahl=79, Vorname=Hubertus, Nachname=Heil, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005053, Redenanzahl=77, Vorname=Robert, Nachname=Farle, Partei=AfD, Fraktion=Fraktionslos}}
Document{{_id=11002746, Redenanzahl=71, Vorname=Cem, Nachname=Özdemir, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11004396, Redenanzahl=70, Vorname=Nina, Nachname=Scheer, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
