Document{{Vorname=Yasmin, Nachname=Fahimi, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=688.0}}
Document{{Vorname=Heiko, Nachname=Maas, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=846.0}}
Document{{Vorname=Bärbel, Nachname=Bas, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=14.0}}
Document{{Vorname=Daniela, Nachname=De Ridder, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=929.0}}
Document{{Vorname=Oliver, Nachname=Krischer, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=769.0}}
Document{{Vorname=Heike, Nachname=Brehmer, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=372.0}}
Document{{Vorname=Beate, Nachname=Walter-Rosenheimer, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=417.0}}
Document{{Vorname=Andreas, Nachname=Rimkus, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=767.1666666666666}}
Document{{Vorname=Carsten, Nachname=Brodesser, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=634.5}}
Document{{Vorname=Uwe, Nachname=Feiler, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=901.8}}
Document{{Vorname=Edgar, Nachname=Franke, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=551.0}}
Document{{Vorname=Christian, Nachname=Kühn, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=672.2}}
Document{{Vorname=Udo, Nachname=Schiefner, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=808.8}}
Document{{Vorname=Katja, Nachname=Kipping, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE., Durchschnittliche Länge=637.0}}
Document{{Vorname=Ophelia, Nachname=Nick, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=693.6666666666666}}
Document{{Vorname=Helge, Nachname=Braun, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=1113.142857142857}}
Document{{Vorname=Josephine, Nachname=Ortleb, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=444.0}}
Document{{Vorname=Michael, Nachname=Sacher, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=603.0}}
Document{{Vorname=Rainer Johannes, Nachname=Keller, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=601.3333333333334}}
Document{{Vorname=Ralph, Nachname=Brinkhaus, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=1736.5}}
Document{{Vorname=Hermann, Nachname=Färber, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=454.8}}
Document{{Vorname=Marc, Nachname=Henrichmann, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=743.6666666666666}}
Document{{Vorname=Bettina, Nachname=Hoffmann, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=827.5}}
Document{{Vorname=Dirk, Nachname=Vöpel, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=512.75}}
Document{{Vorname=Jens, Nachname=Brandenburg, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=834.75}}
Document{{Vorname=Sören, Nachname=Bartol, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=792.3333333333334}}
Document{{Vorname=Torsten, Nachname=Herbst, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=756.625}}
Document{{Vorname=Albert, Nachname=Rupprecht, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=521.0}}
Document{{Vorname=Friedhelm, Nachname=Boginski, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=440.375}}
Document{{Vorname=Jochen, Nachname=Haug, Partei=AfD, Fraktion=Alternative für Deutschland, Durchschnittliche Länge=472.0}}
Document{{Vorname=Reginald, Nachname=Hanke, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=624.0}}
Document{{Vorname=Michael, Nachname=Theurer, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=748.75}}
Document{{Vorname=Corinna, Nachname=Rüffer, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=872.5454545454545}}
Document{{Vorname=Nico, Nachname=Tippelt, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=364.375}}
Document{{Vorname=Claudia, Nachname=Roth, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=688.6}}
Document{{Vorname=Josip, Nachname=Juratovic, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=654.5}}
Document{{Vorname=Kristian, Nachname=Klinck, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=591.75}}
Document{{Vorname=Florian, Nachname=Müller, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=490.3}}
Document{{Vorname=Dorothee, Nachname=Martin, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=646.6111111111111}}
Document{{Vorname=Philip, Nachname=Krämer, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=583.5833333333334}}
Document{{Vorname=Dirk, Nachname=Heidenblut, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=611.1666666666666}}
Document{{Vorname=Oliver, Nachname=Luksic, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=905.25}}
Document{{Vorname=Sven, Nachname=Lehmann, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=496.0}}
Document{{Vorname=Christoph, Nachname=Schmid, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=826.0}}
Document{{Vorname=Patricia, Nachname=Lips, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=501.625}}
Document{{Vorname=Daniel, Nachname=Schneider, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=825.625}}
Document{{Vorname=Emily, Nachname=Vontz, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=692.3333333333334}}
Document{{Vorname=Sabine, Nachname=Weiss, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=511.5}}
Document{{Vorname=Dietmar, Nachname=Nietan, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=735.5714285714286}}
Document{{Vorname=Jürgen, Nachname=Coße, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=684.0}}
Document{{Vorname=Carolin, Nachname=Bachmann, Partei=AfD, Fraktion=Alternative für Deutschland, Durchschnittliche Länge=387.94117647058823}}
Document{{Vorname=Carsten, Nachname=Linnemann, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=765.3333333333334}}
Document{{Vorname=Felix, Nachname=Döring, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=501.8888888888889}}
Document{{Vorname=Thomas, Nachname=Silberhorn, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=503.47058823529414}}
Document{{Vorname=Peter, Nachname=Beyer, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=671.5}}
Document{{Vorname=Macit, Nachname=Karaahmetoğlu, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=729.1818181818181}}
Document{{Vorname=Alexander, Nachname=Dobrindt, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=904.7307692307693}}
Document{{Vorname=Mahmut, Nachname=Özdemir, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=1353.5}}
Document{{Vorname=Jan, Nachname=Plobner, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=540.8125}}
Document{{Vorname=Mechthild, Nachname=Heil, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=797.0}}
Document{{Vorname=Helmut, Nachname=Kleebank, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=688.4705882352941}}
Document{{Vorname=Kevin, Nachname=Kühnert, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=1228.4545454545455}}
Document{{Vorname=Manuel, Nachname=Gava, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=637.4166666666666}}
Document{{Vorname=Alexander, Nachname=Radwan, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=630.4666666666667}}
Document{{Vorname=Christian, Nachname=Bartelt, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=518.6666666666666}}
Document{{Vorname=Ricarda, Nachname=Lang, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=806.4}}
Document{{Vorname=Nils, Nachname=Gründer, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=561.3076923076923}}
Document{{Vorname=Reem, Nachname=Alabali-Radovan, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=677.6666666666666}}
Document{{Vorname=Sarah, Nachname=Ryglewski, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=897.6666666666666}}
Document{{Vorname=Bärbel, Nachname=Kofler, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=864.0}}
Document{{Vorname=Bettina, Nachname=Lugk, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=847.0}}
Document{{Vorname=Catarina, Nachname=Santos-Wintz, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=732.0}}
Document{{Vorname=Misbah, Nachname=Khan, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=461.52941176470586}}
Document{{Vorname=Hermann, Nachname=Gröhe, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=836.2307692307693}}
Document{{Vorname=Markus, Nachname=Koob, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=600.0}}
Document{{Vorname=Kaweh, Nachname=Mansoori, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=707.0952380952381}}
Document{{Vorname=Michael, Nachname=Hennrich, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=796.0}}
Document{{Vorname=Bernd, Nachname=Schattner, Partei=AfD, Fraktion=Alternative für Deutschland, Durchschnittliche Länge=673.2105263157895}}
Document{{Vorname=Mechthilde, Nachname=Wittmann, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=705.88}}
Document{{Vorname=Christian, Nachname=Haase, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=643.3809523809524}}
Document{{Vorname=Florian, Nachname=Toncar, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=986.8333333333334}}
Document{{Vorname=Julian, Nachname=Pahlke, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=546.0}}
Document{{Vorname=Christian, Nachname=Hirte, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=633.9}}
Document{{Vorname=Henning, Nachname=Rehbaum, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=515.4}}
Document{{Vorname=Stefan, Nachname=Wenzel, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=478.42857142857144}}
Document{{Vorname=Denise, Nachname=Loop, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=434.57142857142856}}
Document{{Vorname=Sandra, Nachname=Weeser, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=698.0}}
Document{{Vorname=Christian, Nachname=Petry, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=712.0}}
Document{{Vorname=Martina, Nachname=Englhardt-Kopf, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=582.3333333333334}}
Document{{Vorname=Anette, Nachname=Kramme, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=418.6}}
Document{{Vorname=Frank, Nachname=Müller-Rosentritt, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=558.8333333333334}}
Document{{Vorname=Hendrik, Nachname=Hoppenstedt, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=312.54545454545456}}
Document{{Vorname=Susanne, Nachname=Menge, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=443.0}}
Document{{Vorname=Cansel, Nachname=Kiziltepe, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=492.8333333333333}}
Document{{Vorname=Nicolas, Nachname=Zippelius, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=565.0}}
Document{{Vorname=Jan, Nachname=Metzler, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=673.6}}
Document{{Vorname=Katja, Nachname=Hessel, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=485.0}}
Document{{Vorname=Rita, Nachname=Schwarzelühr-Sutter, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=615.2}}
Document{{Vorname=Jan, Nachname=Dieren, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=677.0555555555555}}
Document{{Vorname=Katja, Nachname=Mast, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=272.42857142857144}}
Document{{Vorname=Alice, Nachname=Weidel, Partei=AfD, Fraktion=Alternative für Deutschland, Durchschnittliche Länge=996.8461538461538}}
Document{{Vorname=Bernhard, Nachname=Herrmann, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=737.1470588235294}}
Document{{Vorname=Markus, Nachname=Kurth, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=703.15}}
Document{{Vorname=Andreas, Nachname=Pinkwart, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=1215.0}}
Document{{Vorname=Saskia, Nachname=Esken, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=952.2}}
Document{{Vorname=Nicole, Nachname=Höchst, Partei=AfD, Fraktion=Alternative für Deutschland, Durchschnittliche Länge=426.64285714285717}}
Document{{Vorname=Alexander, Nachname=Bartz, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=697.8}}
Document{{Vorname=Martin, Nachname=Plum, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=534.8125}}
Document{{Vorname=Markus, Nachname=Töns, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=711.75}}
Document{{Vorname=Ali, Nachname=Al-Dailami, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE., Durchschnittliche Länge=429.875}}
Document{{Vorname=Carolin, Nachname=Wagner, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=601.55}}
Document{{Vorname=Herbert, Nachname=Wollmann, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=722.1538461538462}}
Document{{Vorname=Ann-Veruschka, Nachname=Jurisch, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=475.225}}
Document{{Vorname=Fabian, Nachname=Funke, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=743.6}}
Document{{Vorname=Christian, Nachname=Stetten, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=1020.0}}
